arm,fsim_mean,fsim_sd,lpips_mean,lpips_sd,psnr_mean,n
arm_a_l2,0.9317071713889257,0.008805518462591774,0.2256717718182466,0.03431889814843108,34.03982669380173,624
arm_b_nll,0.9157440215349197,0.009238024370529186,0.2731504010466429,0.03738875644973163,32.92109481135916,624
arm_c_nll_ssim,0.8997077875985549,0.010194993880213067,0.34107938955705136,0.03695845812307476,31.865931004677968,624
arm_d_nll_ssim_ffl,0.9159636703821329,0.009270392886260033,0.27332226815036476,0.037087681471164556,32.904769001363015,624
arm_e_ppvae,0.8925655800371598,0.011282097710287684,0.36870187998582155,0.034627243019932696,31.168971356091717,624
arm_f_kl_cyc,0.9072356084600474,0.010808027538668682,0.3008956467159666,0.03347239169606466,32.19652087404044,624
arm_g_kl_fb,0.901751984961522,0.010276500384259405,0.3318470215711456,0.035186690792540574,31.987922068941852,624
arm_h_kl_cyc_fb,0.9056128313144048,0.010460951919588457,0.30790026309207463,0.03383238880593037,32.22763718966183,624
arm_i_l1,0.9295991256068914,0.009008559999686222,0.22907291878110322,0.03504455571101153,33.883448547516686,624
arm_j_l1_ssim_ffl,0.9306346539121407,0.00856997207600312,0.22683299829562506,0.033536374145403704,33.754838324693154,624
arm_k_nll_l1,0.9131101888532822,0.009292567856178468,0.2824324874493938,0.03780383667491731,32.75041173667263,624
arm_l_nll_edge_ffl,0.9116128228413753,0.009296192783116337,0.28771917689114046,0.03831735267732766,32.617164408147715,624
arm_m_full_det,0.8955696660738725,0.011244414383636004,0.3627419259208135,0.03454923249240054,31.193025820117,624
arm_n_perc,0.9016879749221679,0.009863253713799737,0.33097421697890145,0.03547595408852315,31.94904450832422,624
arm_o_prelu,0.8757143076031636,0.012414602551029504,0.43965327844787866,0.02460221590744459,28.69654370874003,624
arm_p_best,0.8928668301265973,0.011119272101576738,0.36946384465465176,0.03430582569812526,31.186373759093176,624
dncnn_baseline,0.9071319840657406,0.010174323723715859,0.29221001028632504,0.032066491578553326,32.3306665777641,624
ffdnet,0.902480139850806,0.01048228359148281,0.32261053926478594,0.03646999415468505,32.115532633320086,624
ircnn,0.9027384342864538,0.010490093863484993,0.31678575461205,0.03370408362902945,32.17556839660579,624
drunet,0.9211543081089472,0.00904543057996931,0.2353680495841381,0.02693989824878347,32.165736093748606,624
swinir,0.8904764657983413,0.011535791422607848,0.41479215651559526,0.032296523992032575,30.712846549085015,624
