arm,normal_psnr_mean,normal_psnr_sd,normal_n,bacterial_psnr_mean,bacterial_psnr_sd,bacterial_n,viral_psnr_mean,viral_psnr_sd,viral_n,normal_ssim_mean,normal_ssim_sd,bacterial_ssim_mean,bacterial_ssim_sd,viral_ssim_mean,viral_ssim_sd
arm_a_l2,33.43988350629578,0.9341255266878191,234,34.416433722241024,1.1154309100836821,242,34.33482709461184,0.8720521485348578,148,0.9284645540591998,0.014874294492184874,0.927282686814789,0.00945819062959036,0.9309576786047703,0.008352124290263687
arm_b_nll,32.26488213465187,0.8571948959617082,234,33.37469998180074,1.011585864276274,242,33.16173243157627,0.8850481437761827,148,0.9083515375088422,0.01539548415429739,0.9085414710123677,0.00980818475813447,0.9104738130762771,0.00885552571371821
arm_c_nll_ssim,31.16803845763085,0.8018396646755206,234,32.377025399001035,0.930211648492798,242,32.121067626547685,0.9209577030101153,148,0.8819593547755836,0.015072655615482268,0.8844769289178297,0.010924790651940732,0.8873483901088303,0.009821973919103553
arm_d_nll_ssim_ffl,32.25657772364318,0.8458156574584571,234,33.35407625619289,0.9964927861493893,242,33.14878619020193,0.880523893028605,148,0.9081222636577411,0.015139518767128731,0.9084449398123529,0.009646984639534832,0.9104605711795188,0.008933143166417084
arm_e_ppvae,30.514727746927903,0.7928454479842584,234,31.62692416604669,0.8670463135881329,242,31.42842786846619,0.9018229218702457,148,0.8661993925388043,0.017388629436026176,0.870218236830609,0.011992012272206257,0.8723185030189721,0.012288375544051633
arm_f_kl_cyc,31.528244807436746,0.8231792177974532,234,32.67711770600992,0.9652697244715701,242,32.45744296128967,0.9380215626277586,148,0.8969301586477165,0.016306932521802858,0.900175508388803,0.010744192479870747,0.9015840537644721,0.01014621220461717
arm_g_kl_fb,31.27663934500085,0.8092958549397876,234,32.494516935811056,0.9477027019080102,242,32.2604817700781,0.9345737169814866,148,0.8853571580515968,0.014532587065350874,0.8881532761676252,0.010740186869360709,0.8902086635699143,0.009710169203782192
arm_h_kl_cyc_fb,31.50394549701657,0.8348505695520809,234,32.753188170383694,0.9871086403848648,242,32.479247004682875,0.9764124640571384,148,0.8942502793083843,0.015255846374986906,0.8977768716733318,0.010347885951071441,0.8987285732417494,0.009636578373805995
arm_i_l1,33.298394156043194,0.913094671496364,234,34.25621142702503,1.0875555180704133,242,34.14543588246768,0.8683983507086329,148,0.9266611103318695,0.014857919481400146,0.9246021509170532,0.009439482537010926,0.9272225748848271,0.008027915342826144
arm_j_l1_ssim_ffl,33.15039890102972,0.897318453484036,234,34.13931662003778,1.079312673044947,242,34.02898582542205,0.8879318640511468,148,0.9268503978721097,0.014083094253147651,0.9247261660158141,0.009142536271832,0.9278244037885923,0.008100937852118479
arm_k_nll_l1,32.08860351579176,0.8378184208194834,234,33.20422674316434,0.9821066823778897,242,33.00607263493747,0.8837117263463905,148,0.9037453012588696,0.014934968758152438,0.9048466601155021,0.009862959788214236,0.9060485552291613,0.008736023491064924
arm_l_nll_edge_ffl,31.95969683556672,0.8265458305780985,234,33.07550959412648,0.976796216768288,242,32.85721219906682,0.9030539635486646,148,0.9017206277602758,0.014749530624927447,0.9022931306322745,0.00984733239139398,0.9040095274512833,0.008916528587138723
arm_m_full_det,30.544041400592665,0.8020454796465026,234,31.661821212682312,0.8750186537856436,242,31.435205614883284,0.9199553343710556,148,0.869822272632876,0.015808525123179006,0.8725242587653074,0.011339145739087014,0.8760940827227928,0.010651288284384023
arm_n_perc,31.23575134363462,0.7980811921297459,234,32.44763521425743,0.9303435865593715,242,32.23769175619637,0.9174873635094412,148,0.8835659763242445,0.014462416497387914,0.8857780182657163,0.01058706727591976,0.8892928994185215,0.009958893986572378
arm_o_prelu,28.20827830242054,0.7549970134219681,234,29.061279685492615,0.9380941815587712,242,28.83957495698044,0.8790027862657034,148,0.7919893906666682,0.030253176319449824,0.800960700127704,0.026067073769352342,0.7909769029230684,0.023559165406085335
arm_p_best,30.545848969552562,0.7871583957455327,234,31.651722666697367,0.8783296687384547,242,31.40679081023529,0.9253083410065855,148,0.8687338248277322,0.015511866456359172,0.870126555034937,0.011682139908831086,0.8743290268891567,0.011088793164825424
dncnn_baseline,31.68340843894496,0.7811226899950261,234,32.76398652321118,0.9087132349722279,242,32.617962436716816,0.8253957212261219,148,0.8889862688688132,0.014468337428066585,0.8892863538147004,0.009938474724590692,0.892105020784043,0.00955312171501355
ffdnet,31.474972400653503,0.7889018354391901,234,32.581149720502395,0.932025874295173,242,32.34834444623067,0.921147624251847,148,0.8848606174827641,0.014219440395787342,0.8884763380220114,0.010692041483205097,0.8900618444423418,0.009625189148391644
ircnn,31.513698283614534,0.798316695404175,234,32.61450523974772,0.9296592718176884,242,32.48266163643909,0.8683255089514561,148,0.8844265464024667,0.014286860023533165,0.8871127078848436,0.010414590686082692,0.8907612014461208,0.00970161548896248
drunet,31.630719436476788,0.7445448259808833,234,32.72772183575283,1.2117080474832438,242,32.07769968846632,0.8098307981872702,148,0.867481422984702,0.04062492943087033,0.8901282814908619,0.04393316323705969,0.856087103083327,0.04159591666219876
swinir,30.088431305430696,0.8074875087902929,234,31.112054144723427,0.7439795085856725,242,31.02357575791981,0.86089801918246,148,0.8452912217531449,0.013505646944335618,0.8462704001379407,0.009054835536949801,0.8508151459532816,0.008993646749022345
